OC(=O)C1=C(Cl)C=CC=C1Cl;2.33
OC(=O)C1=C(Cl)C=C(Cl)C=C1Cl;2.59
OC(=O)C1=CC=CC(=C1Cl)Cl;2.59
OC(=O)C1=CC(=CC=C1Cl)Cl;2.54
OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O;4.06
OC(=O)C1=CC(=CC(=C1)Cl)Cl;3.27
OC(=O)C1=CC=C(Cl)C(=C1)Cl;3.31
NC(=O)C1=CC=CC=C1;2.09
ClC(Cl)(Cl)Cl;2.98
C=CCN=C=S;5.061
CC(O)CO;0.49
O=C1CCO1;2.875
CC1=CC(=O)C2=C(C=CC=C2)C1=O;4.54
CC1=C(Cl)C=CC(=C1)O;3.8
OCCC1=CC=CC=C1;2.41
CC(N)=O;0.678
NC1=CC=CC=C1;2.77
NC(N)=S;1.68
CCO;1.009
CCO[S](=O)(=O)OCC;2.302
NC(=O)C1=CC=CC=C1O;2.76
O=CC1=CC=CC2=CC=CC=C12;3.423
O=CC1=CC=C(OC2=CC=CC=C2)C=C1;4.26
CO;0.334
CC(C)O;1.118
CC(C)=O;0.796
C[S](C)=O;0.548
C[S](C)(=O)=O;0.8
OC(=O)C1=C(O)C=CC=C1;2.49
BrCC(=O)C1=CC=CC=C1;5.824
[O-][N+](=O)C1=CC=C(F)C(=C1)[N+]([O-])=O;4.71
CCC(=O)C1=CC=C(O)C=C1;3.12
CCCO;1.254
CCCCCO;1.97
C1=CC=CC=C1;2.88
OC(=O)C1=CC=C(Cl)C=C1;3.11
CC#N;0.723
CC(C)N;2.137
CC(C)(C)N;2.103
CC(C)(C)O;1.209
OCC(Br)(Br)Br;3.113
CC(C)(C)CO;2.13
CCC(C)(C)O;1.827
CC(=O)C(C)(C)C;1.558
CC(C)(C)C(O)=O;2.746
CCC(C)(O)C#C;1.677
C=C[S](=O)(=O)C=C;4.41
CC(C)CN;2.738
CC(C)C#N;1.381
CC(C)C=O;2.567
CC(=C)C=O;3.67
CCC(C)=O;1.254
CCC(N)=O;0.91
NC(=O)C=C;2.193
NC(=O)CCl;3.036
CCC(O)=O;2.488
CNC(C)=O;1.02
COC(C)=O;1.405
CC(C)C(O)=O;2.667
CCC(C)(C)C1=CC=C(O)C=C1;4.23
COC(=O)C(C)=C;1.78
CC1=C(C(=CC=C1)C)[N+]([O-])=O;3.3
CC1=C[NH]C2=CC=CC=C12;3.37
CC1=C(C=CC=C1Cl)[N+]([O-])=O;3.68
CCOC(=O)C1=CC=CC=C1C(=O)OCC;3.23
CC(C)COC(=O)C1=C(C=CC=C1)C(=O)OCC(C)C;4.44
[O-][N+](=O)C1=CC=CC=C1C2=CC=CC=C2;4.3
N#CC1=C2C=CC=CC2=CC=C1;3.69
[O-][N+](=O)C1=C2C=CC=CC2=CC=C1;4
[NH]1C2=CC=CC=C2C3=C1C=CC=C3;3.91
OCCOC(=O)C1=CC=CC=C1O;2.92
CC1=CC=CC(=C1C)N;2.57
CC1=C(N)C(=CC=C1)C;2.57
OC1=C(Cl)C=CC=C1Cl;3.73
OC1=C(O)C(=CC=C1)O;3.85
OC1=C(Cl)C(=C(Cl)C(=C1Cl)Cl)Cl;5.07
OC1=C(Cl)C(=C(O)C(=C1Cl)Cl)Cl;5.11
CC1=CC(=C(N)C(=C1)C)C;2.95
OC1=C(Cl)C=C(Cl)C=C1Cl;4.41
CC(=O)C1=CC=CS1;2.41
CC(C)(C)C1=C(O)C=CC=C1;4.29
OC(=O)C1=C(Br)C=CC=C1;2.53
NC(=O)C1=CC=CC=C1N;2.13
[O-][N+](=O)C1=C(Cl)C=CC=C1;3.68
OC1=C(C=CC=C1)[N+]([O-])=O;3.67
[O-][N+](=O)C1=CC(=CC=C1Cl)Cl;4.13
CC1=CC(=C(N)C=C1)[N+]([O-])=O;3.37
OC1=CC=C(Cl)C=C1[N](=O)=O;5.12
CC(C)C1=C(O)C=C(C)C(=C1)Cl;4.85
ONC(=O)C1=C(O)C=CC=C1;3.38
CC(=O)C1=CC=C(O)C=C1O;3.25
CC1=CC=CC=C1CO;2.57
CCC1=C(O)C=CC=C1;3.16
OCC1=CC=CC=C1O;2.05
OC1=CC=CC=C1C=O;3.42
COC1=CC=CC=C1N;2.31
CC1=C2C=CC=CC2=CC=C1;3.74
ClC1=C2C=CC=CC2=CC=C1;3.81
OC1=CC=CC2=CC=CC=C12;3.75
OC1=C(Br)C=C(Br)C=C1C=O;4.65
OC1=C(C=O)C=C(Cl)C=C1Cl;4.55
CN(C)CC1=CC(=C(O)C(=C1)CN(C)C)CN(C)C;2.48
BrC1=CC=C(C=C1)C(=O)C2=CC=CC=C2;4.26
OC(C1=CC=CC=C1)C2=CC=CC=C2;3.5
N#CC1=CC=CC=C1C#N;2.66
C1=CC=C2C=CC=CC2=C1;2.88
C1=CC2=C(C=C1)N=CC=C2;3.09
CC1=CC2=CC=CC=C2C=C1;4.08
CC1=NC2=CC=CC=C2C=C1;3.47
CCN(CC)C1=CC=CC=C1;3.66
C1=CC=C(C=C1)C2=CC=CC=C2;4.05
OC1=CC=C(C=C1)C2=CC=CC=C2;4.39
C1=CC2=NC3=CC=CC=C3N=C2C=C1;4.4
CCC(O)C1=CC=CC=C1;2.57
CCC(=O)C1=CC=CC=C1;2.93
COC(=O)C1=CC=CC=C1;3.23
CCOC(=O)C1=CC=CC=C1;2.99
CC(=O)CC(=O)C1=CC=CC=C1;3.57
O=C(OC1=CC=CC=C1)C2=CC=CC=C2;4.35
CCCCC(CC)C(=O)OC=C;4.046
CCOC(=O)C1=CC=C(C)C=C1;3.68
CCOC(=O)C1=CC=C(N)C=C1;3.7
OC1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2;4.55
CCCCOC(=O)C1=CC=C(O)C=C1;4.33
CCOC(=O)C1=CC=C(OC)C=C1;3.77
O/N=C/C1=CC=CC=C1O;3.25
OC1=CC(=C(C=O)C=C1)O;3.515
S1C=NC2=CC=CC=C12;2.97
CC1=C(O)C=CC=C1;2.71
ClC1=C(Cl)C=CC=C1;3.53
NC1=C(Cl)C=CC=C1;2.83
CC1=C(N)C=CC=C1;2.84
OC1=CC=CC=C1Br;3.33
CC1=CC(=C(C)C=C1)C;3.78
CC1=CC=C(N)C=C1C;2.84
CC1=C(C)C=C(O)C=C1;3.12
